model,static_revenue,rule_based_revenue,ml_based_revenue,rule_lift_pct,ml_lift_pct
XGBoost,1665728.0929999999,1978982.77646458,2850740.0372613464,18.805871425293912,71.14077917285547
LightGBM,1665728.0929999999,1945423.20982333,2784783.6648552185,16.791162855373063,67.18116699585607
